Automatisierter Messplatz

Name Testperson: Testperson
Datum: 12.02.2026 09:20:31
Prüfling: M18TLUT
Bemerkungen: 100;200;300;400;500;Keine
Pfad und Dateiname: C:\Messwerte Temperaturgang\Logfile Tempgang - M18TLUT.txt
Haltezeit / Zusätzliche Erstverweilzeit in min: 20 / 0

	Read Temp[°C]	Set Temp[°C]	Messreihe[-]	Sensor#[-]	Sn[mm]		Voffset,mean	Vdem,mean	VNTC,mean	VLC comp,mean	FW version

	-20,000000	-20,000000	1,000000	3,000000	24,000000	2212,000000	3428,000000	3548,000000	1216,000000	1.0.00
	-20,000000	-20,000000	1,000000	3,000000	8,800000	2213,000000	3398,000000	3548,000000	1186,000000	1.0.00
	-19,900000	-20,000000	1,000000	3,000000	8,000000	2213,000000	3386,000000	3548,000000	1173,000000	1.0.00
	-20,000000	-20,000000	1,000000	4,000000	24,000000	2223,000000	3433,000000	3551,000000	1210,000000	1.0.00
	-20,000000	-20,000000	1,000000	4,000000	8,800000	2223,000000	3402,000000	3552,000000	1179,000000	1.0.00
	-20,000000	-20,000000	1,000000	4,000000	8,000000	2223,000000	3388,000000	3551,000000	1165,000000	1.0.00
	-20,100000	-20,000000	1,000000	5,000000	24,000000	2214,000000	3444,000000	3549,000000	1230,000000	1.0.00
	-20,000000	-20,000000	1,000000	5,000000	8,800000	2214,000000	3434,000000	3550,000000	1220,000000	1.0.00
	-20,000000	-20,000000	1,000000	5,000000	8,000000	2214,000000	3429,000000	3550,000000	1215,000000	1.0.00
	-15,000000	-15,000000	1,000000	1,000000	24,000000	2203,000000	3416,000000	3422,000000	1213,000000	1.0.00
	-15,000000	-15,000000	1,000000	1,000000	8,800000	2203,000000	3390,000000	3421,000000	1186,000000	1.0.00
	-15,000000	-15,000000	1,000000	1,000000	8,000000	2203,000000	3379,000000	3421,000000	1175,000000	1.0.00
	-15,000000	-15,000000	1,000000	2,000000	24,000000	2194,000000	3409,000000	3418,000000	1215,000000	1.0.00
	-15,000000	-15,000000	1,000000	2,000000	8,800000	2194,000000	3380,000000	3418,000000	1186,000000	1.0.00
	-15,000000	-15,000000	1,000000	2,000000	8,000000	2194,000000	3366,000000	3418,000000	1172,000000	1.0.00
	-15,000000	-15,000000	1,000000	3,000000	24,000000	2200,000000	3420,000000	3420,000000	1220,000000	1.0.00
	-15,000000	-15,000000	1,000000	3,000000	8,800000	2200,000000	3391,000000	3419,000000	1191,000000	1.0.00
	-15,000000	-15,000000	1,000000	3,000000	8,000000	2200,000000	3378,000000	3419,000000	1178,000000	1.0.00
	-15,000000	-15,000000	1,000000	4,000000	24,000000	2210,000000	3425,000000	3424,000000	1215,000000	1.0.00
	-15,000000	-15,000000	1,000000	4,000000	8,800000	2210,000000	3395,000000	3424,000000	1184,000000	1.0.00
	-15,000000	-15,000000	1,000000	4,000000	8,000000	2211,000000	3381,000000	3423,000000	1170,000000	1.0.00
	-15,000000	-15,000000	1,000000	5,000000	24,000000	2202,000000	3434,000000	3422,000000	1232,000000	1.0.00
	-15,000000	-15,000000	1,000000	5,000000	8,800000	2202,000000	3424,000000	3422,000000	1222,000000	1.0.00
	-15,000000	-15,000000	1,000000	5,000000	8,000000	2202,000000	3419,000000	3422,000000	1217,000000	1.0.00
	-10,000000	-10,000000	1,000000	1,000000	24,000000	2189,000000	3406,000000	3256,000000	1217,000000	1.0.00
	-10,000000	-10,000000	1,000000	1,000000	8,800000	2190,000000	3381,000000	3256,000000	1191,000000	1.0.00
	-10,000000	-10,000000	1,000000	1,000000	8,000000	2190,000000	3368,000000	3255,000000	1179,000000	1.0.00
	-10,000000	-10,000000	1,000000	2,000000	24,000000	2180,000000	3399,000000	3253,000000	1219,000000	1.0.00
	-10,000000	-10,000000	1,000000	2,000000	8,800000	2180,000000	3370,000000	3253,000000	1190,000000	1.0.00
