ADC,Temperature (°C)
148,117.08779752239415
276,97.8283551672159
404,83.53358738158191
532,72.95164076755415
660,65.06679243540037
788,59.07077719024038
916,54.33573484987153
1044,50.38877769377345
1172,46.88817804329196
1300,43.60117597300193
1428,40.383407153249635
1556,37.15995082387441
1684,33.90799789910881
1812,30.641139203658582
1940,27.395273839961988
2068,24.216137686627263
2196,21.1484520280503
2324,18.22669231521124
2452,15.467477057650825
2580,12.863576846623431
2708,10.379543509432835
2836,7.948959394944552
2964,5.473306790279338
3092,2.8224574686834387
3220,-0.16321763141954193
3348,-3.6691185961998656
3476,-7.901066595010462
3604,-13.078333807801528
3732,-19.425053221350623
3860,-27.16000829431522
3988,-36.48480249111003
