Unit:(mV)
                     CH1         CH2
Frequency    362.318 kHz           ?
Period          2.760 us           ?
00261            3280.00     3360.00
00262              80.00     3360.00
00263              80.00     3360.00
00264              80.00     3360.00
00265              80.00     3280.00
00266              80.00     3360.00
00267            3360.00     3360.00
00268               0.00       80.00
00269              80.00        0.00
00270              80.00     3360.00
00271            3280.00     3360.00
00272            3360.00     3360.00
00273            3360.00       80.00
00274              80.00        0.00
00275              80.00       80.00
00276              80.00     3440.00
00277            3280.00     3440.00
00278            3280.00     3360.00
00279            3360.00       80.00
00280              80.00       80.00
00281               0.00        0.00
00282            3280.00     3360.00
00283            3280.00     3360.00
00284            3360.00     3360.00
00285              80.00       80.00
00286              80.00       80.00
00287              80.00       80.00
00288            3360.00     3360.00
00289            3360.00     3360.00
00290            3360.00       80.00
00291              80.00       80.00
00292               0.00       80.00
00293               0.00     3360.00
00294            3280.00     3360.00
00295            3280.00     3360.00
00296            3360.00        0.00
00297              80.00       80.00
00298              80.00       80.00
00299               0.00     3360.00
00300            3280.00     3440.00
00301            3360.00     3440.00
00302              80.00       80.00
00303              80.00       80.00
00304              80.00       80.00
00305            3280.00     3360.00
00306            3360.00     3360.00
00307            3440.00     3440.00
00308              80.00       80.00
00309              80.00       80.00
00310              80.00     3280.00
00311            3280.00     3440.00
00312            3280.00     3360.00
00313            3440.00       80.00
00314               0.00       80.00
00315              80.00       80.00
00316              80.00     3440.00
00317            3280.00     3360.00
00318            3360.00     3360.00
00319              80.00     3360.00
00320              80.00     3360.00
00321              80.00     3360.00
00322              80.00     3360.00
00323              80.00     3360.00
00324              80.00     3360.00
00325              80.00       80.00
00326              80.00       80.00
00327              80.00     3360.00
00328            3280.00     3360.00
00329            3280.00     3440.00
00330            3360.00       80.00
00331              80.00        0.00
00332              80.00       80.00
00333             -80.00     3120.00
00334            3360.00     3440.00
00335            3280.00     3360.00
00336              80.00        0.00
00337              80.00       80.00
00338             -80.00      -80.00
00339            3280.00     3360.00
00340            3360.00     3360.00
00341            3600.00     3440.00
00342              80.00        0.00
00343              80.00       80.00
00344              80.00     3360.00
00345            3280.00     3360.00
00346            3280.00     3360.00
00347            3280.00       80.00
00348              80.00       80.00
00349              80.00       80.00
00350             -80.00     3280.00
00351            3280.00     3360.00
00352              80.00     3360.00
00353              80.00     3360.00
00354               0.00     3360.00
00355              80.00     3440.00
00356             160.00     3360.00
00357            3280.00     3360.00
00358              80.00        0.00
00359              80.00       80.00
00360               0.00     -160.00
00361            3280.00     3440.00
00362            3280.00     3360.00
00363            3600.00     3360.00
00364              80.00       80.00
00365               0.00      -80.00
00366              80.00     3360.00
00367            3280.00     3360.00
00368            3280.00     3360.00
00369            3280.00       80.00
00370              80.00       80.00
00371              80.00       80.00
00372            -160.00     3280.00
00373            3280.00     3360.00
00374            3280.00     3360.00
00375            3360.00      240.00
00376              80.00       80.00
00377              80.00       80.00
00378            3280.00     3360.00
00379            3280.00     3360.00
00380            3440.00     3520.00
00381              80.00       80.00
